Year,Size,Gender,Education,Age,Service_Length,Monthly_Wage,Annual_Bonus,Employees,Total_Annual_Income
2001,Large (1000+),Female,9.0,65.0,3.5,162700,157900,330,2110300
2001,Large (1000+),Female,9.0,65.0,7.0,151900,325700,300,2148500
2001,Large (1000+),Female,9.0,65.0,12.0,116900,134400,100,1537200
2001,Large (1000+),Female,9.0,65.0,17.0,163300,210600,410,2170200
2001,Large (1000+),Female,9.0,65.0,22.0,140600,378600,80,2065800
2001,Large (1000+),Female,9.0,65.0,27.0,154700,432600,110,2289000
2001,Large (1000+),Female,9.0,65.0,30.0,292600,1093000,340,4604200
2001,Large (1000+),Female,12.0,17.0,0.0,135000,0,30,1620000
2001,Large (1000+),Female,12.0,18.5,0.0,160100,26700,10420,1947900
2001,Large (1000+),Female,12.0,18.5,1.5,167100,422500,7200,2427700
2001,Large (1000+),Female,12.0,18.5,3.5,149800,267600,30,2065200
2001,Large (1000+),Female,12.0,22.0,0.0,158900,32400,6800,1939200
2001,Large (1000+),Female,12.0,22.0,1.5,172900,538800,24310,2613600
2001,Large (1000+),Female,12.0,22.0,3.5,182100,689400,31200,2874600
2001,Large (1000+),Female,12.0,22.0,7.0,195200,792600,18010,3135000
2001,Large (1000+),Female,12.0,27.0,0.0,154900,27900,7650,1886700
2001,Large (1000+),Female,12.0,27.0,1.5,176100,295200,7750,2408400
2001,Large (1000+),Female,12.0,27.0,3.5,196100,677200,8680,3030400
2001,Large (1000+),Female,12.0,27.0,7.0,210500,847500,64400,3373500
2001,Large (1000+),Female,12.0,27.0,12.0,221900,952600,27770,3615400
2001,Large (1000+),Female,12.0,32.0,0.0,159600,20500,7130,1935700
2001,Large (1000+),Female,12.0,32.0,1.5,162400,255500,7000,2204300
2001,Large (1000+),Female,12.0,32.0,3.5,188000,503900,4040,2759900
2001,Large (1000+),Female,12.0,32.0,7.0,219500,739600,8660,3373600
2001,Large (1000+),Female,12.0,32.0,12.0,238300,1006800,43750,3866400
2001,Large (1000+),Female,12.0,32.0,17.0,258900,1135400,15680,4242200
2001,Large (1000+),Female,12.0,37.0,0.0,155600,34200,5840,1901400
2001,Large (1000+),Female,12.0,37.0,1.5,156800,215100,6620,2096700
2001,Large (1000+),Female,12.0,37.0,3.5,201400,541800,5150,2958600
2001,Large (1000+),Female,12.0,37.0,7.0,222200,664400,6890,3330800
2001,Large (1000+),Female,12.0,37.0,12.0,252300,948900,7960,3976500
2001,Large (1000+),Female,12.0,37.0,17.0,277500,1257000,33650,4587000
2001,Large (1000+),Female,12.0,37.0,22.0,287100,1334700,11860,4779900
2001,Large (1000+),Female,12.0,42.0,0.0,168500,14600,5570,2036600
2001,Large (1000+),Female,12.0,42.0,1.5,162000,264600,4910,2208600
2001,Large (1000+),Female,12.0,42.0,3.5,181800,473300,5420,2654900
2001,Large (1000+),Female,12.0,42.0,7.0,223300,678100,8190,3357700
2001,Large (1000+),Female,12.0,42.0,12.0,269900,916900,7700,4155700
2001,Large (1000+),Female,12.0,42.0,17.0,276200,1126200,4130,4440600
2001,Large (1000+),Female,12.0,42.0,22.0,308100,1427500,23180,5124700
2001,Large (1000+),Female,12.0,42.0,27.0,333800,1652700,8180,5658300
