Year,Size,Gender,Education,Age,Service_Length,Monthly_Wage,Annual_Bonus,Employees,Total_Annual_Income
2001,Large (1000+),Female,12,32,0,158400,51200,480,1952000
2001,Large (1000+),Female,12,32,1.5,177000,395600,740,2519600
2001,Large (1000+),Female,12,32,3.5,198600,601700,520,2984900
2001,Large (1000+),Female,12,32,7,213000,808400,1850,3364400
2001,Large (1000+),Female,12,32,12,229900,988300,19760,3747100
2001,Large (1000+),Female,12,32,17,244400,1043200,9390,3976000
2001,Large (1000+),Female,12,37,0,165300,126700,320,2110300
2001,Large (1000+),Female,12,37,1.5,159800,204700,410,2122300
2001,Large (1000+),Female,12,37,3.5,235300,520700,680,3344300
2001,Large (1000+),Female,12,37,7,226000,668000,1060,3380000
2001,Large (1000+),Female,12,37,12,234500,1043500,1960,3857500
2001,Large (1000+),Female,12,37,17,258900,1163400,16340,4270200
2001,Large (1000+),Female,12,37,22,268300,1222100,5900,4441700
2001,Large (1000+),Female,12,42,0,165000,99800,180,2079800
2001,Large (1000+),Female,12,42,1.5,161100,246000,550,2179200
2001,Large (1000+),Female,12,42,3.5,171700,441000,950,2501400
2001,Large (1000+),Female,12,42,7,179200,577500,1380,2727900
2001,Large (1000+),Female,12,42,12,175600,680500,1160,2787700
2001,Large (1000+),Female,12,42,17,247100,1090300,1800,4055500
2001,Large (1000+),Female,12,42,22,275400,1246500,9710,4551300
2001,Large (1000+),Female,12,42,27,291000,1423400,2540,4915400
2001,Large (1000+),Female,12,47,0,156800,101000,610,1982600
2001,Large (1000+),Female,12,47,1.5,171800,188500,890,2250100
2001,Large (1000+),Female,12,47,3.5,174200,467800,440,2558200
2001,Large (1000+),Female,12,47,7,175500,575500,1630,2681500
2001,Large (1000+),Female,12,47,12,180600,704800,1830,2872000
2001,Large (1000+),Female,12,47,17,182800,679100,1240,2872700
2001,Large (1000+),Female,12,47,22,237800,992500,1550,3846100
2001,Large (1000+),Female,12,47,27,306300,1466000,7690,5141600
2001,Large (1000+),Female,12,47,30,322300,1627900,3490,5495500
2001,Large (1000+),Female,12,52,0,169100,110100,580,2139300
2001,Large (1000+),Female,12,52,1.5,171600,209500,340,2268700
2001,Large (1000+),Female,12,52,3.5,161100,363800,540,2297000
2001,Large (1000+),Female,12,52,7,193600,682000,2430,3005200
2001,Large (1000+),Female,12,52,12,181900,661500,2770,2844300
2001,Large (1000+),Female,12,52,17,212200,786900,2350,3333300
2001,Large (1000+),Female,12,52,22,234000,975300,1400,3783300
2001,Large (1000+),Female,12,52,27,320400,1563900,2220,5408700
2001,Large (1000+),Female,12,52,30,327100,1527500,7610,5452700
2001,Large (1000+),Female,12,57,0,175600,14900,350,2122100
2001,Large (1000+),Female,12,57,1.5,192400,307000,590,2615800
2001,Large (1000+),Female,12,57,3.5,158200,231700,370,2130100
2001,Large (1000+),Female,12,57,7,165500,782200,600,2768200
2001,Large (1000+),Female,12,57,12,177600,612500,1030,2743700
2001,Large (1000+),Female,12,57,17,177600,619900,1610,2751100
2001,Large (1000+),Female,12,57,22,227400,958900,1320,3687700
2001,Large (1000+),Female,12,57,27,252700,1142800,850,4175200
2001,Large (1000+),Female,12,57,30,330700,1617100,2710,5585500
2001,Large (1000+),Female,12,62,1.5,190800,369800,50,2659400
2001,Large (1000+),Female,12,62,3.5,187800,297300,60,2550900
2001,Large (1000+),Female,12,62,7,180000,339700,370,2499700
2001,Large (1000+),Female,12,62,12,176500,440200,370,2558200
2001,Large (1000+),Female,12,62,17,205800,238300,40,2707900
2001,Large (1000+),Female,12,62,22,174100,512200,130,2601400
2001,Large (1000+),Female,12,62,27,136500,1132800,20,2770800
2001,Large (1000+),Female,12,62,30,121900,113300,20,1576100
2001,Large (1000+),Female,12,65,7,153900,403600,40,2250400
2001,Large (1000+),Female,14,22,0,179000,32100,2850,2180100
2001,Large (1000+),Female,14,22,1.5,189000,701100,5750,2969100
2001,Large (1000+),Female,14,22,3.5,197100,820300,7670,3185500
2001,Large (1000+),Female,14,22,7,202400,784100,80,3212900
2001,Large (1000+),Female,14,27,0,202100,224000,680,2649200
2001,Large (1000+),Female,14,27,1.5,198700,631400,1190,3015800
2001,Large (1000+),Female,14,27,3.5,200300,844400,3240,3248000
2001,Large (1000+),Female,14,27,7,220600,950800,16720,3598000
2001,Large (1000+),Female,14,27,12,210200,834400,50,3356800
2001,Large (1000+),Female,14,32,0,181500,109300,130,2287300
2001,Large (1000+),Female,14,32,1.5,231300,838300,690,3613900
2001,Large (1000+),Female,14,32,3.5,229400,731200,530,3484000
2001,Large (1000+),Female,14,32,7,252400,1067300,2740,4096100
2001,Large (1000+),Female,14,32,12,250000,1094700,12860,4094700
2001,Large (1000+),Female,14,32,17,352200,1496800,30,5723200
2001,Large (1000+),Female,14,37,0,157000,80300,60,1964300
2001,Large (1000+),Female,14,37,1.5,293900,443100,170,3969900
2001,Large (1000+),Female,14,37,3.5,337500,1819600,360,5869600
