cat_0,cat_1,cat_2,cat_3,cat_4,n_diff,pearson_r_diff,pearson_p_diff,elasticity_beta,elasticity_alpha,elasticity_se,elasticity_t,elasticity_p,elasticity_r2,n_log
L,Male,College,55-59,3-4,22,-0.43888,0.04101,-1.52882,0.02973,0.43836,-3.48757,0.00049,0.37817,22
L,Male,College,55-59,30+,23,0.09535,0.66517,0.50859,0.01364,0.71314,0.71317,0.47574,0.02365,23
L,Male,College,55-59,5-9,23,-0.15243,0.48748,0.39014,-0.0562,0.85949,0.45392,0.64989,0.00972,23
L,Male,College,55-59,T,23,-0.10079,0.64724,-0.21407,0.01547,0.7453,-0.28723,0.77394,0.00391,23
L,Male,College,60-64,0,19,-0.28167,0.24269,-0.41134,-0.03009,0.92674,-0.44385,0.65715,0.01146,19
L,Male,College,60-64,1-2,20,-0.41799,0.06666,-1.50608,0.06376,0.91592,-1.64434,0.10011,0.1306,20
L,Male,College,60-64,10-14,15,-0.45982,0.08462,-0.61962,0.06911,0.91373,-0.67813,0.49769,0.03416,15
L,Male,College,60-64,15-19,15,-0.05394,0.8486,0.60876,-0.00328,0.61366,0.99201,0.32119,0.07037,15
L,Male,College,60-64,20-24,14,0.10843,0.71216,0.42627,-0.05416,0.733,0.58154,0.56088,0.02741,14
L,Male,College,60-64,25-29,16,-0.24762,0.35515,-0.54873,-0.00872,0.42912,-1.27874,0.20099,0.10458,16
L,Male,College,60-64,3-4,16,-0.24131,0.36794,-0.05298,0.06193,0.46751,-0.11333,0.90977,0.00092,16
L,Male,College,60-64,30+,23,-0.29025,0.17911,-1.15851,0.15795,0.76046,-1.52345,0.12765,0.09952,23
L,Male,College,60-64,5-9,20,0.04434,0.85275,0.43921,-0.00857,0.32216,1.36334,0.17277,0.0936,20
L,Male,College,60-64,T,23,0.28837,0.18208,0.77776,0.12317,0.83812,0.92798,0.35342,0.03939,23
L,Male,HighSchool,20-24,0,23,-0.40602,0.05456,-3.42763,-0.00027,2.02132,-1.69574,0.08994,0.12044,23
L,Male,HighSchool,20-24,1-2,23,0.23698,0.27626,1.75621,-0.00974,1.07358,1.63585,0.10187,0.11303,23
L,Male,HighSchool,20-24,3-4,23,-0.44978,0.03129,-2.51733,-0.00514,1.0622,-2.36991,0.01779,0.21102,23
L,Male,HighSchool,20-24,5-9,23,0.26602,0.21986,2.56036,-0.00046,2.05082,1.24846,0.21186,0.06909,23
L,Male,HighSchool,20-24,T,23,-0.31096,0.14867,-1.71448,-0.00058,1.36987,-1.25157,0.21073,0.06941,23
L,Male,HighSchool,25-29,0,23,-0.03349,0.87942,-0.01119,-0.01858,1.48533,-0.00754,0.99399,0.0,23
L,Male,HighSchool,25-29,1-2,23,-0.42827,0.04147,-2.53575,0.00808,0.87291,-2.90494,0.00367,0.28665,23
L,Male,HighSchool,25-29,10-14,23,0.05311,0.8098,0.35842,-0.00065,1.11089,0.32264,0.74697,0.00493,23
