cat_0,cat_1,cat_2,cat_3,cat_4,n_diff,pearson_r_diff,pearson_p_diff,elasticity_beta,elasticity_alpha,elasticity_se,elasticity_t,elasticity_p,elasticity_r2,n_log
L,Male,University,45-49,0,8,0.22808,0.58694,0.45288,-0.04584,1.17744,0.38463,0.70051,0.02406,8
L,Male,University,45-49,1-2,8,-0.07872,0.85301,-2.1216,-0.15292,2.64605,-0.8018,0.42267,0.09678,8
L,Male,University,45-49,10-14,8,-0.17718,0.67468,-1.93967,-0.09367,3.40806,-0.56914,0.56926,0.05122,8
L,Male,University,45-49,15-19,8,-0.01178,0.97791,-0.09777,-0.05012,3.38009,-0.02893,0.97692,0.00014,8
L,Male,University,45-49,20-24,8,-0.5188,0.18771,-3.2211,-0.05827,1.92934,-1.66954,0.09501,0.3172,8
L,Male,University,45-49,25-29,8,0.06858,0.87182,0.20181,-0.05921,1.98561,0.10164,0.91904,0.00172,8
L,Male,University,45-49,3-4,8,0.11461,0.78698,0.9469,-0.1035,1.23723,0.76534,0.44407,0.08894,8
L,Male,University,45-49,30+,8,-0.69828,0.05406,-1.67969,-0.02574,0.69376,-2.42114,0.01547,0.49418,8
L,Male,University,45-49,5-9,8,-0.12664,0.76508,-0.91952,-0.05785,1.71449,-0.53632,0.59173,0.04575,8
L,Male,University,45-49,T,8,-0.44496,0.26927,-2.9034,-0.05731,2.31259,-1.25548,0.20931,0.20805,8
L,Male,University,50-54,0,8,0.82506,0.01169,2.11223,-0.06375,0.6206,3.40354,0.00067,0.65878,8
L,Male,University,50-54,1-2,8,-0.42393,0.29523,-0.95823,-0.09569,1.32766,-0.72175,0.47045,0.07988,8
L,Male,University,50-54,10-14,8,-0.26331,0.52864,-1.06046,0.02979,1.47089,-0.72097,0.47093,0.07973,8
L,Male,University,50-54,15-19,8,0.11474,0.78673,0.1928,-0.07701,1.13978,0.16915,0.86568,0.00475,8
L,Male,University,50-54,20-24,8,0.10919,0.7969,0.2398,-0.07077,1.20373,0.19921,0.8421,0.00657,8
L,Male,University,50-54,25-29,8,-0.31545,0.4466,-1.17284,-0.08347,0.97145,-1.20731,0.22731,0.19545,8
L,Male,University,50-54,3-4,8,0.58721,0.1259,0.80702,-0.04101,0.55387,1.45707,0.1451,0.26136,8
L,Male,University,50-54,30+,8,0.17462,0.67919,1.20229,-0.05707,2.02428,0.59394,0.55255,0.05553,8
L,Male,University,50-54,5-9,8,-0.38286,0.3492,-0.65285,-0.03299,0.64845,-1.00678,0.31404,0.14452,8
L,Male,University,50-54,T,8,-0.20811,0.62092,-0.88124,-0.07172,1.22149,-0.72144,0.47064,0.07982,8
L,Male,University,55-59,0,8,0.25631,0.54005,1.01138,0.07042,0.79436,1.27319,0.20295,0.2127,8
L,Male,University,55-59,1-2,8,0.29571,0.47702,0.14265,-0.1553,0.53084,0.26873,0.78814,0.01189,8
L,Male,University,55-59,10-14,8,0.45001,0.26322,1.85013,-0.02809,1.85401,0.99791,0.31832,0.14235,8
L,Male,University,55-59,15-19,8,0.38791,0.34234,3.40006,0.00391,3.03926,1.11872,0.26326,0.17259,8
L,Male,University,55-59,20-24,8,-0.34013,0.40973,-0.98482,-0.053,1.61,-0.61169,0.54074,0.0587,8
L,Male,University,55-59,25-29,8,-0.42484,0.29408,-2.62243,-0.07148,1.55469,-1.68679,0.09164,0.32167,8
L,Male,University,55-59,3-4,8,-0.60766,0.11004,-1.13532,-0.02091,0.57838,-1.96294,0.04965,0.39106,8
L,Male,University,55-59,30+,8,-0.40403,0.32084,-1.88977,-0.05482,1.62553,-1.16256,0.24501,0.18384,8
L,Male,University,55-59,5-9,8,0.40764,0.31612,0.58005,0.03178,0.66449,0.87293,0.3827,0.11269,8
L,Male,University,55-59,T,8,-0.63295,0.09209,-2.75956,-0.05549,1.23426,-2.2358,0.02537,0.45449,8
L,Male,University,60-64,0,8,-0.15369,0.71634,-0.52564,0.13066,0.91986,-0.57143,0.56771,0.05161,8
L,Male,University,60-64,1-2,8,-0.20228,0.63094,-0.18862,0.00455,0.49721,-0.37936,0.70442,0.02342,8
L,Male,University,60-64,10-14,8,0.29132,0.48389,0.5842,0.23696,0.75699,0.77175,0.44026,0.0903,8
L,Male,University,60-64,15-19,8,0.355,0.38818,0.36989,0.06098,0.24066,1.537,0.12429,0.2825,8
L,Male,University,60-64,20-24,8,0.07298,0.86365,0.64896,0.17973,0.52557,1.23476,0.21692,0.20262,8
L,Male,University,60-64,25-29,8,-0.09454,0.82379,-0.37087,-0.031,1.50142,-0.24701,0.8049,0.01007,8
L,Male,University,60-64,3-4,8,-0.211,0.61596,-1.42771,0.11364,0.99298,-1.4378,0.15049,0.25625,8
L,Male,University,60-64,30+,8,-0.25416,0.54357,-1.10643,0.04466,1.57213,-0.70378,0.48157,0.07626,8
L,Male,University,60-64,5-9,8,-0.35171,0.39291,-1.61687,-0.12464,1.11468,-1.45052,0.14691,0.25963,8
L,Male,University,60-64,T,8,0.36102,0.37961,0.70423,0.06554,0.86326,0.81579,0.41462,0.09984,8
L,Total,College,20-24,0,23,-0.12534,0.56878,-1.26185,-0.00664,1.96497,-0.64217,0.52076,0.01926,23
L,Total,College,20-24,1-2,23,0.35055,0.10102,3.11986,-0.00372,1.46842,2.12464,0.03362,0.17693,23
L,Total,College,20-24,3-4,23,-0.07608,0.73009,-0.4734,0.01144,2.03282,-0.23288,0.81586,0.00258,23
L,Total,College,20-24,5-9,18,-0.60382,0.00796,-1.58022,0.10318,0.92637,-1.70583,0.08804,0.15388,18
L,Total,College,20-24,T,23,0.11799,0.59184,0.53273,-0.00049,1.3619,0.39116,0.69568,0.00723,23
L,Total,College,25-29,0,23,-0.09498,0.66641,0.17999,-0.0293,0.86208,0.20879,0.83461,0.00207,23
L,Total,College,25-29,1-2,23,0.27935,0.19674,0.45087,-0.0057,0.94713,0.47604,0.63405,0.01068,23
L,Total,College,25-29,10-14,20,-0.59587,0.00556,-0.73219,0.04125,0.69477,-1.05387,0.29194,0.05812,20
L,Total,College,25-29,3-4,23,0.12236,0.57807,0.42084,-0.01769,1.18722,0.35447,0.72299,0.00595,23
L,Total,College,25-29,5-9,23,-0.2323,0.28615,-0.63832,-0.00216,0.92854,-0.68745,0.4918,0.02201,23
L,Total,College,25-29,T,23,0.10461,0.63476,0.42423,-0.0149,0.90618,0.46815,0.63968,0.01033,23
L,Total,College,30-34,0,23,0.06689,0.76172,0.30962,-0.00291,1.04871,0.29524,0.76781,0.00413,23
L,Total,College,30-34,1-2,23,-0.1252,0.56922,-0.99671,0.00622,1.60605,-0.6206,0.53486,0.01801,23
L,Total,College,30-34,10-14,23,-0.61193,0.00192,-2.65779,0.02068,0.81778,-3.25002,0.00115,0.33466,23
L,Total,College,30-34,15-19,19,0.00317,0.98972,1.04004,0.02753,1.28888,0.80693,0.41971,0.03689,19
L,Total,College,30-34,3-4,23,-0.23011,0.29084,-1.94789,0.05794,1.40223,-1.38914,0.16479,0.08416,23
L,Total,College,30-34,5-9,23,0.31423,0.14422,0.80742,-0.01005,0.5342,1.51147,0.13067,0.09811,23
L,Total,College,30-34,T,23,-0.2585,0.23367,-1.27386,0.0077,1.00087,-1.27275,0.20311,0.07161,23
L,Total,College,35-39,0,23,-0.22369,0.30489,-0.33676,0.04846,0.48686,-0.69169,0.48913,0.02228,23
L,Total,College,35-39,1-2,23,-0.11051,0.61568,-0.06073,-0.00924,0.37071,-0.16382,0.86987,0.00128,23
L,Total,College,35-39,10-14,23,0.21571,0.3229,1.70643,-0.00953,1.14753,1.48705,0.137,0.09527,23
L,Total,College,35-39,15-19,23,-0.14856,0.49873,-0.68628,-0.00688,0.79803,-0.85996,0.38981,0.03402,23
L,Total,College,35-39,20-24,17,-0.27522,0.285,-2.50057,0.07328,1.40981,-1.77369,0.07611,0.17337,17
L,Total,College,35-39,3-4,23,-0.24413,0.26161,-1.88638,-0.01044,0.66397,-2.84104,0.0045,0.27764,23
L,Total,College,35-39,5-9,23,0.14663,0.50437,0.27069,0.01328,0.4101,0.66007,0.50921,0.02033,23
L,Total,College,35-39,T,23,0.21686,0.32027,0.99266,-0.01414,0.9687,1.02473,0.30549,0.04762,23
L,Total,College,40-44,0,23,-0.2053,0.34736,-1.09856,-0.0335,0.81919,-1.34103,0.17991,0.07888,23
L,Total,College,40-44,1-2,23,-0.1769,0.4194,-0.09141,0.03598,0.49916,-0.18313,0.8547,0.00159,23
L,Total,College,40-44,10-14,23,-0.10917,0.62,-0.22481,-0.02051,0.70462,-0.31904,0.74969,0.00482,23
L,Total,College,40-44,15-19,23,0.21557,0.32322,0.61689,-0.00951,0.64433,0.95741,0.33836,0.04182,23
L,Total,College,40-44,20-24,23,-0.11362,0.60571,-0.70181,-0.01623,1.324,-0.53007,0.59607,0.0132,23
L,Total,College,40-44,25-29,17,0.18395,0.47973,1.11521,0.03555,1.24549,0.8954,0.37058,0.05074,17
L,Total,College,40-44,3-4,23,-0.54918,0.00665,-1.34814,-0.02401,0.45998,-2.93089,0.00338,0.2903,23
L,Total,College,40-44,5-9,23,-0.00639,0.97692,-0.01562,-0.01868,0.56931,-0.02743,0.97812,4e-05,23
L,Total,College,40-44,T,23,0.22674,0.29817,0.77591,-0.02296,0.57894,1.34024,0.18017,0.0788,23
L,Total,College,45-49,0,20,-0.62506,0.00321,-1.21687,0.01321,0.33438,-3.63915,0.00027,0.42388,20
L,Total,College,45-49,1-2,22,0.05509,0.80764,-0.05997,-0.00444,0.50467,-0.11883,0.90541,0.00071,22
L,Total,College,45-49,10-14,23,-0.15272,0.48663,-0.32782,0.01242,0.41498,-0.78998,0.42954,0.02886,23
L,Total,College,45-49,15-19,23,0.38887,0.06667,0.87633,-0.00211,0.5391,1.62554,0.10405,0.11176,23
L,Total,College,45-49,20-24,23,0.08676,0.69385,0.3789,-0.00839,0.42823,0.8848,0.37626,0.03594,23
L,Total,College,45-49,25-29,23,-0.12663,0.56477,-0.44813,-0.01397,0.68693,-0.65236,0.51417,0.01986,23
L,Total,College,45-49,3-4,23,-0.35407,0.09741,-0.78943,0.0348,0.47448,-1.66379,0.09615,0.11647,23
L,Total,College,45-49,30+,18,-0.34813,0.15686,-1.51622,0.01363,0.82865,-1.82973,0.06729,0.17304,18
L,Total,College,45-49,5-9,23,0.07233,0.74292,0.12455,0.02027,0.45572,0.27331,0.78461,0.00354,23
L,Total,College,45-49,T,23,-0.25016,0.24963,-0.33116,-0.01284,0.29218,-1.13343,0.25704,0.05765,23
L,Total,College,50-54,0,21,0.14117,0.5416,-0.04347,-0.0831,0.61852,-0.07028,0.94397,0.00026,21
L,Total,College,50-54,1-2,21,-0.04112,0.85953,-0.07836,-0.06008,0.40301,-0.19444,0.84583,0.00199,21
L,Total,College,50-54,10-14,23,0.18503,0.39799,0.42431,-0.00645,0.40297,1.05295,0.29236,0.05015,23
L,Total,College,50-54,15-19,23,-0.15037,0.49344,-0.57952,-0.00052,0.56352,-1.0284,0.30376,0.04795,23
L,Total,College,50-54,20-24,23,0.10275,0.64083,1.01339,-0.00334,0.79558,1.27378,0.20274,0.07172,23
L,Total,College,50-54,25-29,23,0.27791,0.19916,0.54832,0.0065,0.66158,0.8288,0.40722,0.03167,23
L,Total,College,50-54,3-4,21,0.44168,0.04501,0.7643,-0.06182,0.39016,1.95891,0.05012,0.16803,21
L,Total,College,50-54,30+,23,0.35749,0.09399,1.64406,-0.02125,0.73892,2.22494,0.02608,0.19076,23
L,Total,College,50-54,5-9,23,0.34868,0.10297,0.43419,-0.0264,0.3128,1.38808,0.16511,0.08404,23
L,Total,College,50-54,T,23,0.24149,0.26697,0.68545,-0.01809,0.58566,1.17039,0.24185,0.06123,23
L,Total,College,55-59,0,17,0.33534,0.18823,0.46178,-0.13926,0.75786,0.60932,0.54231,0.02415,17
L,Total,College,55-59,1-2,20,-0.21418,0.36453,-0.11402,-0.05655,0.29457,-0.38707,0.6987,0.00825,20
L,Total,College,55-59,10-14,23,0.00869,0.96862,0.00269,-0.02703,0.35539,0.00757,0.99396,0.0,23
L,Total,College,55-59,15-19,23,-0.22524,0.30146,-0.38909,0.02277,0.69519,-0.55969,0.57569,0.0147,23
L,Total,College,55-59,20-24,23,-0.28286,0.19094,-0.57979,0.04088,0.51086,-1.13493,0.25641,0.05779,23
L,Total,College,55-59,25-29,23,-0.2666,0.21882,-0.8007,0.00018,0.72091,-1.11068,0.26671,0.05548,23
L,Total,College,55-59,3-4,22,-0.16738,0.45657,-0.61782,-0.02511,0.61152,-1.0103,0.31235,0.04856,22
L,Total,College,55-59,30+,23,-0.12339,0.57487,-0.22223,0.00076,1.01913,-0.21805,0.82739,0.00226,23
L,Total,College,55-59,5-9,23,0.14984,0.49498,0.48805,-0.07188,0.56427,0.86492,0.38708,0.0344,23
L,Total,College,55-59,T,23,0.12449,0.57144,0.56279,-0.00308,0.62674,0.89796,0.36921,0.03698,23
L,Total,College,60-64,0,16,-0.46093,0.07235,-1.48774,-0.00989,1.05483,-1.41042,0.15842,0.12441,16
L,Total,College,60-64,1-2,17,0.41658,0.09624,1.92232,0.01338,1.19386,1.61018,0.10736,0.14737,17
L,Total,College,60-64,10-14,15,0.14519,0.60566,-0.1056,-0.14751,0.64439,-0.16388,0.86982,0.00206,15
L,Total,College,60-64,15-19,15,0.02279,0.93574,0.37199,-0.12684,0.81953,0.45391,0.64989,0.0156,15
L,Total,College,60-64,20-24,15,0.26821,0.33379,0.83418,-0.0304,0.58919,1.41582,0.15683,0.1336,15
L,Total,College,60-64,25-29,16,-0.0422,0.87667,0.18932,-0.09631,0.37342,0.50699,0.61216,0.01803,16
L,Total,College,60-64,3-4,16,-0.14963,0.58018,-0.68552,0.02234,0.55622,-1.23245,0.21778,0.09788,16
L,Total,College,60-64,30+,20,-0.21943,0.35262,-0.55314,0.14843,0.77863,-0.7104,0.47745,0.02727,20
L,Total,College,60-64,5-9,19,-0.10123,0.68008,0.34383,-0.07144,0.37657,0.91305,0.36122,0.04675,19
L,Total,College,60-64,T,23,0.52904,0.00944,1.00283,0.06204,0.41879,2.39456,0.01664,0.21448,23
L,Total,HighSchool,20-24,0,23,0.02345,0.91541,0.52664,-0.00392,1.43348,0.36739,0.71333,0.00639,23
L,Total,HighSchool,20-24,1-2,23,0.07804,0.72339,0.56037,-0.00216,0.77397,0.72402,0.46906,0.02435,23
L,Total,HighSchool,20-24,3-4,23,-0.43376,0.03865,-1.84749,-0.00378,0.86316,-2.14039,0.03232,0.17909,23
L,Total,HighSchool,20-24,5-9,23,0.02596,0.90641,0.5795,0.00517,2.08445,0.27801,0.781,0.00367,23
L,Total,HighSchool,20-24,T,23,-0.27558,0.20311,-1.18482,-0.00021,1.10719,-1.07012,0.28457,0.05171,23
L,Total,HighSchool,25-29,0,23,0.21846,0.31661,1.39145,-0.01779,1.1451,1.21513,0.22432,0.06569,23
L,Total,HighSchool,25-29,1-2,23,-0.37428,0.07849,-1.97832,-0.00089,0.86848,-2.27792,0.02273,0.19813,23
L,Total,HighSchool,25-29,10-14,23,0.01446,0.94778,0.14274,-0.00175,1.41203,0.10109,0.91948,0.00049,23
L,Total,HighSchool,25-29,3-4,23,-0.06137,0.7809,-0.64015,-0.0111,1.18519,-0.54012,0.58911,0.0137,23
L,Total,HighSchool,25-29,5-9,23,0.38751,0.06771,2.58336,-0.00585,1.1585,2.22993,0.02575,0.19145,23
L,Total,HighSchool,25-29,T,23,0.01119,0.95958,0.37621,-0.0102,1.08352,0.34721,0.72843,0.00571,23
L,Total,HighSchool,30-34,0,23,0.31271,0.14628,1.36531,0.01025,0.81049,1.68454,0.09208,0.11904,23
L,Total,HighSchool,30-34,1-2,23,-0.08128,0.71238,-0.32353,0.01356,0.8162,-0.39639,0.69182,0.00743,23
L,Total,HighSchool,30-34,10-14,23,-0.17702,0.41909,-0.6159,0.00335,0.83647,-0.73631,0.46154,0.02517,23
L,Total,HighSchool,30-34,15-19,23,-0.17479,0.42506,-0.94655,0.00317,1.27607,-0.74177,0.45823,0.02553,23
L,Total,HighSchool,30-34,3-4,23,0.05023,0.81994,0.28878,-0.01908,0.61546,0.4692,0.63893,0.01037,23
L,Total,HighSchool,30-34,5-9,23,-0.26922,0.21416,-1.57755,0.00297,1.25926,-1.25276,0.21029,0.06954,23
L,Total,HighSchool,30-34,T,23,-0.30096,0.16288,-1.01601,-0.0017,0.72111,-1.40897,0.15885,0.08637,23
L,Total,HighSchool,35-39,0,23,-0.31575,0.14219,-1.51047,0.00438,1.05712,-1.42885,0.15305,0.08861,23
L,Total,HighSchool,35-39,1-2,23,0.54101,0.00768,3.29328,0.02661,1.18865,2.77062,0.0056,0.26769,23
L,Total,HighSchool,35-39,10-14,23,-0.10219,0.64267,-0.51962,-0.0009,1.28446,-0.40455,0.68581,0.00773,23
L,Total,HighSchool,35-39,15-19,23,0.16611,0.44876,0.98027,-0.00418,1.2836,0.76369,0.44505,0.02702,23
L,Total,HighSchool,35-39,20-24,23,-0.3268,0.128,-3.71219,0.01342,2.30998,-1.60703,0.10805,0.10951,23
L,Total,HighSchool,35-39,3-4,23,-0.05497,0.80328,-0.12692,-0.00797,0.65785,-0.19293,0.84702,0.00177,23
L,Total,HighSchool,35-39,5-9,23,0.32177,0.13432,1.51248,-0.00618,0.90801,1.6657,0.09577,0.1167,23
L,Total,HighSchool,35-39,T,23,-0.35865,0.09285,-2.46238,0.00576,1.41497,-1.74023,0.08182,0.12603,23
L,Total,HighSchool,40-44,0,23,-0.2011,0.35751,-0.28498,-0.01262,0.65358,-0.43602,0.66282,0.00897,23
L,Total,HighSchool,40-44,1-2,23,0.25326,0.24361,1.07845,-0.01621,0.655,1.6465,0.09966,0.11433,23
L,Total,HighSchool,40-44,10-14,23,0.19185,0.38052,1.01358,-0.01786,0.85348,1.18758,0.235,0.06293,23
L,Total,HighSchool,40-44,15-19,23,0.28939,0.18046,1.73634,-0.01009,1.123,1.54616,0.12207,0.1022,23
L,Total,HighSchool,40-44,20-24,23,0.20312,0.3526,1.55135,-0.00697,1.53214,1.01254,0.31128,0.04655,23
L,Total,HighSchool,40-44,25-29,23,-0.26885,0.21481,-2.01312,0.01275,1.57922,-1.27475,0.2024,0.07182,23
L,Total,HighSchool,40-44,3-4,23,-0.12239,0.57799,-0.25612,-0.03262,0.53362,-0.47996,0.63125,0.01085,23
L,Total,HighSchool,40-44,5-9,23,-0.03748,0.86518,-0.04728,-0.00857,0.78429,-0.06029,0.95193,0.00017,23
L,Total,HighSchool,40-44,T,23,-0.02864,0.89679,-0.19082,-0.00885,1.30444,-0.14629,0.88369,0.00102,23
L,Total,HighSchool,45-49,0,23,-0.38713,0.06801,-1.25617,-0.03008,0.92746,-1.35442,0.1756,0.08034,23
L,Total,HighSchool,45-49,1-2,23,0.20724,0.34271,0.50976,0.00851,0.57069,0.89323,0.37173,0.0366,23
L,Total,HighSchool,45-49,10-14,23,0.29458,0.17241,0.71717,-0.01239,0.52217,1.37346,0.16961,0.08242,23
L,Total,HighSchool,45-49,15-19,23,0.10148,0.645,0.64651,0.01207,1.05069,0.61532,0.53834,0.01771,23
L,Total,HighSchool,45-49,20-24,23,-0.12167,0.58024,-0.48252,-0.02356,0.58852,-0.81989,0.41228,0.03102,23
L,Total,HighSchool,45-49,25-29,23,-0.09553,0.6646,-0.70095,-0.00168,1.36358,-0.51405,0.60722,0.01243,23
L,Total,HighSchool,45-49,3-4,23,0.22066,0.31164,0.64889,0.00613,0.84563,0.76735,0.44287,0.02727,23
L,Total,HighSchool,45-49,30+,23,0.11848,0.59029,0.60106,-0.00821,0.77635,0.77421,0.4388,0.02775,23
L,Total,HighSchool,45-49,5-9,23,-0.30805,0.15272,-0.57256,-0.00384,0.39543,-1.44794,0.14763,0.09077,23
L,Total,HighSchool,45-49,T,23,-0.37336,0.07929,-1.9456,-0.00367,1.01051,-1.92537,0.05418,0.15004,23
L,Total,HighSchool,50-54,0,23,-0.08944,0.68487,-0.77699,-0.03719,0.66847,-1.16234,0.2451,0.06045,23
L,Total,HighSchool,50-54,1-2,23,0.09892,0.65338,0.31106,-0.0098,0.41726,0.74548,0.45598,0.02578,23
L,Total,HighSchool,50-54,10-14,23,-0.07072,0.74848,-0.12928,0.00444,0.61321,-0.21082,0.83302,0.00211,23
L,Total,HighSchool,50-54,15-19,23,0.11837,0.59063,0.55222,0.00393,0.57924,0.95336,0.34041,0.04148,23
L,Total,HighSchool,50-54,20-24,23,0.38118,0.07272,1.06738,-0.01883,0.4885,2.18499,0.02889,0.18523,23
L,Total,HighSchool,50-54,25-29,23,0.14317,0.51459,0.52215,-0.02317,0.75607,0.69061,0.48981,0.02221,23
L,Total,HighSchool,50-54,3-4,23,0.0667,0.76238,0.12309,-0.00836,0.49485,0.24875,0.80355,0.00294,23
L,Total,HighSchool,50-54,30+,23,-0.10513,0.63307,-0.38373,0.00195,0.97179,-0.39487,0.69294,0.00737,23
L,Total,HighSchool,50-54,5-9,23,0.07192,0.74435,0.09153,-0.02004,0.45784,0.19991,0.84155,0.0019,23
L,Total,HighSchool,50-54,T,23,-0.4963,0.01601,-2.48717,0.0062,0.86297,-2.88209,0.00395,0.28343,23
L,Total,HighSchool,55-59,0,23,-0.11112,0.61372,-0.35475,-0.02373,0.45081,-0.78691,0.43133,0.02864,23
L,Total,HighSchool,55-59,1-2,23,-0.41434,0.04934,-0.74159,-0.00944,0.41305,-1.79539,0.07259,0.13307,23
L,Total,HighSchool,55-59,10-14,23,-0.2352,0.28,-0.84882,-0.00654,0.74062,-1.14609,0.25176,0.05887,23
L,Total,HighSchool,55-59,15-19,23,-0.03768,0.86448,-0.11874,-0.00201,0.41384,-0.28692,0.77417,0.0039,23
L,Total,HighSchool,55-59,20-24,23,0.10738,0.62577,0.33768,-0.00317,0.6436,0.52468,0.5998,0.01294,23
L,Total,HighSchool,55-59,25-29,23,-0.01001,0.96386,-0.47579,-0.02598,1.15518,-0.41188,0.68043,0.00801,23
L,Total,HighSchool,55-59,3-4,23,0.12925,0.55669,0.0408,-0.03026,0.33107,0.12325,0.90191,0.00072,23
L,Total,HighSchool,55-59,30+,23,-0.10425,0.63593,-0.62426,0.00097,1.06971,-0.58358,0.5595,0.01596,23
L,Total,HighSchool,55-59,5-9,23,-0.21795,0.31777,-0.64014,-0.00103,0.44912,-1.42531,0.15407,0.08821,23
L,Total,HighSchool,55-59,T,23,-0.5661,0.00487,-2.0016,0.00085,0.56107,-3.56746,0.00036,0.37735,23
L,Total,HighSchool,60-64,0,20,0.15354,0.5181,0.50087,0.01587,0.58555,0.85538,0.39234,0.03906,20
L,Total,HighSchool,60-64,1-2,23,-0.29486,0.172,-0.6336,0.0108,0.89523,-0.70775,0.4791,0.0233,23
L,Total,HighSchool,60-64,10-14,23,-0.17105,0.43518,-0.29391,0.01884,0.65231,-0.45056,0.65231,0.00957,23
L,Total,HighSchool,60-64,15-19,23,-0.1207,0.5833,-1.20504,0.06389,0.47191,-2.55351,0.01066,0.23693,23
L,Total,HighSchool,60-64,20-24,23,0.27073,0.21149,0.12989,-0.0129,0.22123,0.58714,0.55711,0.01615,23
L,Total,HighSchool,60-64,25-29,23,-0.28333,0.19017,-0.52804,0.00582,0.34873,-1.51419,0.12998,0.09843,23
L,Total,HighSchool,60-64,3-4,23,-0.1109,0.61444,-0.34044,0.02926,0.57946,-0.58752,0.55685,0.01617,23
L,Total,HighSchool,60-64,30+,23,0.23766,0.27486,0.51391,0.02101,0.4594,1.11865,0.26329,0.05624,23
L,Total,HighSchool,60-64,5-9,23,0.37588,0.07712,0.69334,-0.00795,0.45389,1.52755,0.12662,0.1,23
L,Total,HighSchool,60-64,T,23,-0.33805,0.11464,-0.79782,0.02711,0.45633,-1.74835,0.0804,0.12706,23
L,Total,JuniorHigh,20-24,0,19,-0.07194,0.76979,-1.11386,-0.03981,1.6479,-0.67593,0.49909,0.02617,19
L,Total,JuniorHigh,20-24,1-2,19,-0.1369,0.57627,-0.02898,0.00606,0.84223,-0.03441,0.97255,7e-05,19
L,Total,JuniorHigh,20-24,3-4,19,0.48679,0.03455,4.0103,-0.11129,1.58737,2.52637,0.01152,0.27296,19
L,Total,JuniorHigh,20-24,5-9,18,-0.04922,0.8462,-0.52998,-0.01285,2.01746,-0.2627,0.79278,0.00429,18
L,Total,JuniorHigh,20-24,T,19,-0.21378,0.37951,0.00433,-0.03207,0.73871,0.00586,0.99532,0.0,19
L,Total,JuniorHigh,25-29,0,19,-0.31482,0.18925,-2.77242,-0.05669,0.98834,-2.80513,0.00503,0.31641,19
L,Total,JuniorHigh,25-29,1-2,19,0.202,0.40691,3.19379,0.03014,1.92043,1.66305,0.0963,0.13993,19
L,Total,JuniorHigh,25-29,10-14,19,-0.1197,0.62548,-0.14179,0.0121,1.35725,-0.10447,0.9168,0.00064,19
L,Total,JuniorHigh,25-29,3-4,18,0.16322,0.51756,0.93567,-0.06226,1.91977,0.48738,0.62599,0.01463,18
L,Total,JuniorHigh,25-29,5-9,19,-0.29103,0.22673,-0.73974,-0.06616,0.47577,-1.55484,0.11998,0.1245,19
L,Total,JuniorHigh,25-29,T,19,-0.23708,0.32842,-0.36721,-0.04689,1.67784,-0.21886,0.82676,0.00281,19
L,Total,JuniorHigh,30-34,0,18,-0.09907,0.69572,0.30518,-0.04425,0.68841,0.44332,0.65753,0.01213,18
L,Total,JuniorHigh,30-34,1-2,18,-0.4863,0.04072,-1.38811,-0.04371,0.53808,-2.57977,0.00989,0.29376,18
L,Total,JuniorHigh,30-34,10-14,19,0.26861,0.26615,0.62791,-0.07627,0.49478,1.26907,0.20441,0.08654,19
L,Total,JuniorHigh,30-34,15-19,18,-0.30062,0.22546,-0.57607,-0.06265,0.60725,-0.94865,0.3428,0.05325,18
L,Total,JuniorHigh,30-34,3-4,18,-0.07321,0.77283,0.59632,-0.01946,0.56751,1.05076,0.29337,0.06455,18
L,Total,JuniorHigh,30-34,5-9,19,0.17912,0.46311,1.04698,-0.02113,1.35975,0.76998,0.44131,0.0337,19
L,Total,JuniorHigh,30-34,T,19,-0.05846,0.81209,0.10073,-0.05092,0.70816,0.14224,0.88689,0.00119,19
L,Total,JuniorHigh,35-39,0,18,0.28774,0.24693,1.8885,-0.06437,1.07757,1.75256,0.07968,0.16105,18
L,Total,JuniorHigh,35-39,1-2,19,0.21185,0.38393,0.86765,-0.00808,0.71338,1.21625,0.22389,0.08005,19
L,Total,JuniorHigh,35-39,10-14,19,0.20678,0.39566,2.05254,-0.02797,0.84571,2.42699,0.01522,0.25733,19
L,Total,JuniorHigh,35-39,15-19,19,0.56694,0.01137,1.4769,-0.07773,0.55273,2.67199,0.00754,0.29576,19
L,Total,JuniorHigh,35-39,20-24,18,0.20752,0.40865,0.5692,-0.06801,0.34491,1.65028,0.09889,0.14545,18
L,Total,JuniorHigh,35-39,3-4,19,-0.32161,0.17937,-1.06409,-0.02702,0.8867,-1.20006,0.23012,0.0781,19
L,Total,JuniorHigh,35-39,5-9,18,-0.28163,0.25755,-0.38245,-0.05256,0.72024,-0.531,0.59542,0.01732,18
L,Total,JuniorHigh,35-39,T,19,-0.41851,0.07454,-0.87175,-0.05234,0.5776,-1.50927,0.13123,0.11816,19
L,Total,JuniorHigh,40-44,0,17,-0.28316,0.27076,-1.62611,-0.15942,0.98526,-1.65043,0.09885,0.15369,17
L,Total,JuniorHigh,40-44,1-2,19,0.12048,0.62321,1.12159,-0.03985,0.81108,1.38283,0.16672,0.10111,19
L,Total,JuniorHigh,40-44,10-14,19,0.11916,0.62706,0.16535,-0.03564,0.93577,0.1767,0.85974,0.00183,19
L,Total,JuniorHigh,40-44,15-19,19,0.02396,0.92245,0.26467,0.0008,0.58432,0.45295,0.65058,0.01192,19
L,Total,JuniorHigh,40-44,20-24,19,0.26883,0.26575,0.97746,-0.11378,0.79109,1.23559,0.21661,0.0824,19
