年,産業分類,規模,現金給与総額,きまって支給する給与,所定内給与,所定外給与,特別給与,総実労働時間,所定内労働時間,所定外労働時間,出勤日数,前月末労働者数,本月末労働者数,増加労働者数,減少労働者数
1997,E,4,529972.0,382708.0,332176.0,50532.0,147264.0,165.8,147.4,18.4,19.1,2429833.0,2426426.0,20882.0,24371.0
1997,E,M,368473.0,291718.6666666667,265051.3333333333,26667.333333333332,76754.33333333333,173.0666666666667,158.33333333333334,14.733333333333334,20.599999999999998,7004464.0,6997499.0,82593.0,90323.0
1997,E,T,409983.0,315222.0,282480.0,32742.0,94761.0,171.1,155.5,15.6,20.2,9434297.0,9423925.0,103474.0,114695.0
1997,F,4,665265.0,461555.0,412450.0,49105.0,203710.0,157.3,144.7,12.6,19.0,39688.0,39687.0,487.0,487.0
1997,F,M,582874.0,418576.6666666667,376399.6666666667,42177.0,164297.33333333334,156.13333333333333,144.9,11.233333333333334,19.133333333333336,268604.0,268272.0,3192.0,3571.0
1997,F,T,598406.0,426819.0,382763.0,44056.0,171587.0,156.1,144.5,11.6,19.1,308291.0,307960.0,3678.0,4057.0
1997,TL,4,557010.0,399567.0,355563.0,44004.0,157443.0,163.3,147.2,16.1,19.4,4129661.0,4124092.0,42729.0,48410.0
1997,TL,M,417682.6666666667,321833.3333333333,299872.6666666667,21960.666666666668,95849.33333333333,168.9,156.9,12.0,20.7,30774493.0,30751143.0,463996.0,489205.0
1997,TL,T,422678.0,325268.0,302525.0,22743.0,97410.0,168.8,156.9,11.9,20.7,34904154.0,34875234.0,506725.0,537616.0
1998,C,M,439844.6666666667,343318.6666666667,321809.0,21509.666666666668,96526.0,169.63333333333333,158.46666666666667,11.166666666666666,21.166666666666668,52593.0,52356.0,528.0,764.0
1998,C,T,386894.0,319417.0,292742.0,26675.0,67477.0,179.5,165.2,14.3,21.9,57212.0,56984.0,581.0,810.0
1998,D,4,620544.0,461683.0,429521.0,32162.0,158861.0,167.3,153.0,14.3,20.0,162680.0,162313.0,1422.0,1787.0
1998,D,M,424894.6666666667,344714.0,325445.6666666667,19268.333333333332,80180.66666666667,170.46666666666667,159.53333333333333,10.933333333333332,21.03333333333333,4087251.0,4073847.0,64419.0,77871.0
1998,D,T,386353.0,325080.0,309547.0,15533.0,61273.0,170.2,161.0,9.2,21.3,4249930.0,4236159.0,65841.0,79659.0
1998,E,4,525309.0,382648.0,337465.0,45183.0,142661.0,163.7,147.7,16.0,19.1,2391788.0,2387878.0,19866.0,23697.0
1998,E,M,364883.3333333333,292825.6666666667,269915.0,22910.666666666668,72057.66666666667,169.73333333333335,157.4,12.333333333333334,20.466666666666665,6898738.0,6882608.0,70976.0,87603.0
1998,E,T,406120.0,316032.0,287448.0,28584.0,90088.0,168.2,154.9,13.3,20.1,9290526.0,9270486.0,90841.0,111299.0
