年,産業分類,労働者数,増加労働者数,減少労働者数,パートタイム労働者数,労働者数割合
2008,E,7579836.0,82381.0,80831.0,,22.774
2008,F,272259.0,3756.0,3700.0,,0.818
2008,G,1375010.0,20672.0,18878.0,,4.131
2008,H,2236020.0,27104.0,28553.0,,6.718
2008,I,5409617.0,82311.0,85745.0,,16.254
2008,J,1349287.0,27507.0,25270.0,,4.054
2008,O,2183974.0,37063.0,34959.0,,6.562
2008,P,3376962.0,55501.0,52569.0,,10.146
2008,Q,579212.0,6920.0,7993.0,,1.74
2008,TL,33282523.0,503543.0,509724.0,,100.0
2009,C,22712.0,188.0,251.0,,0.071
2009,D,2433848.0,32060.0,34944.0,,7.596
2009,E,7184082.0,76777.0,93251.0,,22.421
2009,F,262777.0,3522.0,3245.0,,0.82
2009,G,1358535.0,18903.0,19067.0,,4.24
2009,H,2253567.0,29085.0,32929.0,,7.033
2009,I,5139546.0,74853.0,78239.0,,16.04
2009,J,1272633.0,24429.0,22504.0,,3.972
2009,O,2004263.0,30843.0,29860.0,,6.255
2009,P,3769407.0,64140.0,55674.0,,11.764
2009,Q,596067.0,9628.0,8839.0,,1.86
2009,TL,32042230.0,483206.0,524705.0,,100.0
2010,C,22570.0,154.0,202.0,,0.071
2010,D,2427180.0,29986.0,32841.0,,7.604
2010,E,7126549.0,69733.0,73234.0,,22.325
2010,F,263660.0,3019.0,3155.0,,0.826
2010,G,1365830.0,16944.0,17833.0,,4.279
2010,H,2230487.0,28578.0,30319.0,,6.987
2010,I,4989598.0,62248.0,70243.0,,15.631
2010,J,1285176.0,24351.0,23655.0,,4.026
2010,K,516355.0,8192.0,8636.0,,1.618
2010,L,1109017.0,13783.0,13557.0,,3.474
2010,M,987080.0,24164.0,26658.0,,3.092
2010,N,896147.0,17160.0,18842.0,,2.807
2010,O,2050813.0,29077.0,29787.0,,6.425
2010,P,3832191.0,58649.0,52663.0,,12.005
2010,Q,603653.0,11063.0,9459.0,,1.891
2010,R,2215035.0,52411.0,50541.0,,6.939
2010,TL,31921340.0,449512.0,461624.0,,100.0
2011,C,22459.0,261.0,251.0,,0.07
2011,D,2436855.0,27501.0,31689.0,,7.625
2011,E,7128724.0,68687.0,72689.0,,22.305
2011,F,267393.0,3413.0,3263.0,,0.837
2011,G,1351901.0,16294.0,17908.0,,4.23
2011,H,2239522.0,27457.0,28133.0,,7.007
2011,I,4895919.0,63079.0,68517.0,,15.319
2011,J,1274801.0,21465.0,21809.0,,3.989
2011,K,506467.0,8298.0,7985.0,,1.585
2011,L,1104116.0,13526.0,14440.0,,3.455
2011,M,1007145.0,22916.0,28379.0,,3.151
2011,N,880292.0,15495.0,16783.0,,2.754
2011,O,2044638.0,30734.0,32857.0,,6.397
2011,P,3961320.0,60843.0,55010.0,,12.394
2011,Q,606450.0,10959.0,11277.0,,1.897
2011,R,2232621.0,51686.0,51982.0,,6.986
2011,TL,31960621.0,442613.0,462971.0,,100.0
2012,C,20846.0,305.0,344.0,,0.064
2012,D,2450626.0,32932.0,34341.0,,7.508
2012,E,7092148.0,72995.0,79804.0,,21.727
2012,F,279051.0,3009.0,3316.0,,0.855
2012,G,1370462.0,17630.0,20743.0,,4.198
2012,H,2605959.0,36281.0,37779.0,,7.983
2012,I,5068145.0,70180.0,77394.0,,15.526
2012,J,1240388.0,23461.0,24836.0,,3.8
